Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Inside Out 2,https://www.imdb.com/title/tt22022452/?ref_=sr_t_1,2024,1h 36m,PG,7.6,194K
2. Deadpool & Wolverine,https://www.imdb.com/title/tt6263850/?ref_=sr_t_2,2024,2h 8m,R,7.6,441K
3. Wicked,https://www.imdb.com/title/tt1262426/?ref_=sr_t_3,2024,2h 40m,PG,7.9,90K
4. Moana 2,https://www.imdb.com/title/tt13622970/?ref_=sr_t_4,2024,1h 40m,PG,7.0,56K
5. Despicable Me 4,https://www.imdb.com/title/tt7510222/?ref_=sr_t_5,2024,1h 34m,PG,6.2,55K
6. Beetlejuice Beetlejuice,https://www.imdb.com/title/tt2049403/?ref_=sr_t_6,2024,1h 45m,PG-13,6.7,127K
7. Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=sr_t_7,2024,2h 46m,PG-13,8.5,574K
8. Twisters,https://www.imdb.com/title/tt12584954/?ref_=sr_t_8,2024,2h 2m,PG-13,6.5,145K
9. Godzilla x Kong: The New Empire,https://www.imdb.com/title/tt14539740/?ref_=sr_t_9,2024,1h 55m,PG-13,6.1,114K
10. Kung Fu Panda 4,https://www.imdb.com/title/tt21692408/?ref_=sr_t_10,2024,1h 34m,PG,6.3,63K
11. Bad Boys: Ride or Die,https://www.imdb.com/title/tt4919268/?ref_=sr_t_11,2024,1h 55m,R,6.5,89K
12. Sonic the Hedgehog 3,https://www.imdb.com/title/tt18259086/?ref_=sr_t_12,2024,1h 50m,PG,7.3,20K
13. Kingdom of the Planet of the Apes,https://www.imdb.com/title/tt11389872/?ref_=sr_t_13,2024,2h 25m,PG-13,6.9,141K
14. Gladiator II,https://www.imdb.com/title/tt9218128/?ref_=sr_t_14,2024,2h 28m,R,6.7,151K
15. Mufasa: The Lion King,https://www.imdb.com/title/tt13186482/?ref_=sr_t_15,2024,1h 58m,PG,6.7,22K
16. It Ends with Us,https://www.imdb.com/title/tt10655524/?ref_=sr_t_16,2024,2h 10m,PG-13,6.4,64K
17. The Wild Robot,https://www.imdb.com/title/tt29623480/?ref_=sr_t_17,2024,1h 42m,PG,8.2,109K
18. Venom: The Last Dance,https://www.imdb.com/title/tt16366836/?ref_=sr_t_18,2024,1h 50m,PG-13,6.0,77K
19. A Quiet Place: Day One,https://www.imdb.com/title/tt13433802/?ref_=sr_t_19,2024,1h 39m,PG-13,6.3,131K
20. Ghostbusters: Frozen Empire,https://www.imdb.com/title/tt21235248/?ref_=sr_t_20,2024,1h 55m,PG-13,6.1,88K
21. IF,https://www.imdb.com/title/tt11152168/?ref_=sr_t_21,2024,1h 44m,PG,6.4,53K
22. Alien: Romulus,https://www.imdb.com/title/tt18412256/?ref_=sr_t_22,2024,1h 59m,R,7.1,200K
23. Red One,https://www.imdb.com/title/tt14948432/?ref_=sr_t_23,2024,2h 3m,PG-13,6.4,120K
24. Bob Marley: One Love,https://www.imdb.com/title/tt8521778/?ref_=sr_t_24,2024,1h 47m,PG-13,6.2,33K
25. The Fall Guy,https://www.imdb.com/title/tt1684562/?ref_=sr_t_25,2024,2h 6m,PG-13,6.9,193K
26. The Garfield Movie,https://www.imdb.com/title/tt5779228/?ref_=sr_t_26,2024,1h 41m,PG,5.7,22K
27. Longlegs,https://www.imdb.com/title/tt23468450/?ref_=sr_t_27,2024,1h 41m,R,6.7,150K
28. Mean Girls,https://www.imdb.com/title/tt11762114/?ref_=sr_t_28,2024,1h 52m,PG-13,5.6,36K
29. Smile 2,https://www.imdb.com/title/tt29268110/?ref_=sr_t_29,2024,2h 7m,R,6.8,77K
30. Civil War,https://www.imdb.com/title/tt17279496/?ref_=sr_t_30,2024,1h 49m,R,7.0,210K
31. Furiosa: A Mad Max Saga,https://www.imdb.com/title/tt12037194/?ref_=sr_t_31,2024,2h 28m,R,7.5,252K
32. The Beekeeper,https://www.imdb.com/title/tt15314262/?ref_=sr_t_32,2024,1h 45m,R,6.3,145K
33. Nosferatu,https://www.imdb.com/title/tt5040012/?ref_=sr_t_33,2024,2h 12m,R,7.7,42K
34. Transformers One,https://www.imdb.com/title/tt8864596/?ref_=sr_t_34,2024,1h 44m,PG,7.6,41K
35. Joker: Folie à Deux,https://www.imdb.com/title/tt11315808/?ref_=sr_t_35,2024,2h 18m,R,5.2,141K
36. Terrifier 3,https://www.imdb.com/title/tt27911000/?ref_=sr_t_36,2024,2h 5m,Not Rated,6.4,41K
37. Challengers,https://www.imdb.com/title/tt16426418/?ref_=sr_t_37,2024,2h 11m,R,7.1,130K
38. Argylle,https://www.imdb.com/title/tt15009428/?ref_=sr_t_38,2024,2h 19m,PG-13,5.6,88K
39. Madame Web,https://www.imdb.com/title/tt11057302/?ref_=sr_t_39,2024,1h 56m,PG-13,4.0,96K
40. Trap,https://www.imdb.com/title/tt26753003/?ref_=sr_t_40,2024,1h 45m,PG-13,5.9,118K
41. The Best Christmas Pageant Ever,https://www.imdb.com/title/tt2347285/?ref_=sr_t_41,2024,1h 39m,PG,6.8,5.4K
42. Speak No Evil,https://www.imdb.com/title/tt27534307/?ref_=sr_t_42,2024,1h 50m,R,6.8,76K
43. A Complete Unknown,https://www.imdb.com/title/tt11563598/?ref_=sr_t_43,2024,2h 21m,R,7.8,8.4K
44. The Strangers: Chapter 1,https://www.imdb.com/title/tt22050754/?ref_=sr_t_44,2024,1h 31m,R,4.6,21K
45. Night Swim,https://www.imdb.com/title/tt9682428/?ref_=sr_t_45,2024,1h 38m,PG-13,4.7,26K
46. Conclave,https://www.imdb.com/title/tt20215234/?ref_=sr_t_46,2024,2h,PG,7.4,56K
47. Reagan,https://www.imdb.com/title/tt1723808/?ref_=sr_t_47,2024,2h 21m,PG-13,6.2,9.5K
48. The Forge,https://www.imdb.com/title/tt26731216/?ref_=sr_t_48,2024,2h 4m,PG,6.6,3.6K
49. Horizon: An American Saga - Chapter 1,https://www.imdb.com/title/tt17505010/?ref_=sr_t_49,2024,3h 1m,R,6.7,33K
50. Imaginary,https://www.imdb.com/title/tt26658104/?ref_=sr_t_50,2024,1h 44m,PG-13,4.7,16K
51. Heretic,https://www.imdb.com/title/tt28015403/?ref_=sr_t_51,2024,1h 51m,R,7.0,69K
52. Abigail,https://www.imdb.com/title/tt27489557/?ref_=sr_t_52,2024,1h 49m,R,6.6,86K
53. Monkey Man,https://www.imdb.com/title/tt9214772/?ref_=sr_t_53,2024,2h 1m,R,6.8,84K
54. Arthur the King,https://www.imdb.com/title/tt10720352/?ref_=sr_t_54,2024,1h 47m,PG-13,7.0,31K
55. We Live in Time,https://www.imdb.com/title/tt27131358/?ref_=sr_t_55,2024,1h 48m,R,7.0,26K
56. Blink Twice,https://www.imdb.com/title/tt14858658/?ref_=sr_t_56,2024,1h 42m,R,6.5,68K
57. Kraven: The Hunter,https://www.imdb.com/title/tt8790086/?ref_=sr_t_57,2024,2h 7m,R,5.4,21K
58. The Ministry of Ungentlemanly Warfare,https://www.imdb.com/title/tt5177120/?ref_=sr_t_58,2024,2h 2m,R,6.8,123K
59. Fly Me to the Moon,https://www.imdb.com/title/tt1896747/?ref_=sr_t_59,2024,2h 12m,PG-13,6.6,40K
60. Unsung Hero,https://www.imdb.com/title/tt23638614/?ref_=sr_t_60,2024,1h 53m,PG,7.0,4.5K
61. The First Omen,https://www.imdb.com/title/tt5672290/?ref_=sr_t_61,2024,1h 59m,R,6.5,60K
62. Cabrini,https://www.imdb.com/title/tt14351082/?ref_=sr_t_62,2024,2h 22m,PG-13,7.3,7.9K
63. Ordinary Angels,https://www.imdb.com/title/tt4996328/?ref_=sr_t_63,2024,1h 58m,PG,7.4,14K
64. The Watchers,https://www.imdb.com/title/tt26736843/?ref_=sr_t_64,2024,1h 42m,PG-13,5.7,49K
65. Tarot,https://www.imdb.com/title/tt14088510/?ref_=sr_t_65,2024,1h 32m,PG-13,4.8,29K
66. Kalki 2898 AD,https://www.imdb.com/title/tt12735488/?ref_=sr_t_66,2024,3h,Not Rated,7.0,63K
67. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,https://www.imdb.com/title/tt30395619/?ref_=sr_t_67,2024,1h 44m,R,7.1,7.9K
68. Harold and the Purple Crayon,https://www.imdb.com/title/tt1609486/?ref_=sr_t_68,2024,1h 30m,PG,5.7,6.8K
69. The Substance,https://www.imdb.com/title/tt17526714/?ref_=sr_t_69,2024,2h 21m,R,7.4,189K
70. Homestead,https://www.imdb.com/title/tt29137778/?ref_=sr_t_70,2024,1h 52m,PG-13,5.6,1.5K
71. Immaculate,https://www.imdb.com/title/tt23137390/?ref_=sr_t_71,2024,1h 29m,R,5.8,49K
72. Borderlands,https://www.imdb.com/title/tt4978420/?ref_=sr_t_72,2024,1h 41m,PG-13,4.6,38K
73. MaXXXine,https://www.imdb.com/title/tt22048412/?ref_=sr_t_73,2024,1h 43m,R,6.3,59K
74. Anora,https://www.imdb.com/title/tt28607951/?ref_=sr_t_74,2024,2h 19m,R,7.9,53K
75. Babygirl,https://www.imdb.com/title/tt30057084/?ref_=sr_t_75,2024,1h 54m,R,6.6,6.8K
76. Pushpa: The Rule - Part 2,https://www.imdb.com/title/tt16539454/?ref_=sr_t_76,2024,3h 21m,,6.4,41K
77. Am I Racist?,https://www.imdb.com/title/tt33034103/?ref_=sr_t_77,2024,1h 40m,PG-13,6.7,16K
78. Here,https://www.imdb.com/title/tt18272208/?ref_=sr_t_78,2024,1h 44m,PG-13,6.2,9.5K
79. Bonhoeffer: Pastor. Spy. Assassin.,https://www.imdb.com/title/tt26237514/?ref_=sr_t_79,2024,2h 13m,PG-13,6.6,2.4K
80. Sound of Hope: The Story of Possum Trot,https://www.imdb.com/title/tt6881490/?ref_=sr_t_80,2024,2h 10m,PG-13,7.2,1.8K
81. Never Let Go,https://www.imdb.com/title/tt14415204/?ref_=sr_t_81,2024,1h 41m,R,5.4,12K
82. Lisa Frankenstein,https://www.imdb.com/title/tt21188080/?ref_=sr_t_82,2024,1h 41m,PG-13,6.1,26K
83. Piece by Piece,https://www.imdb.com/title/tt31064841/?ref_=sr_t_83,2024,1h 33m,PG,6.9,3.7K
84. Saturday Night,https://www.imdb.com/title/tt27657135/?ref_=sr_t_84,2024,1h 49m,R,7.0,15K
85. The Crow,https://www.imdb.com/title/tt1340094/?ref_=sr_t_85,2024,1h 51m,R,4.7,28K
86. Thelma,https://www.imdb.com/title/tt23778968/?ref_=sr_t_86,2024,1h 38m,PG-13,7.0,17K
87. The Lord of the Rings: The War of the Rohirrim,https://www.imdb.com/title/tt14824600/?ref_=sr_t_87,2024,2h 14m,PG-13,6.5,17K
88. Love Lies Bleeding,https://www.imdb.com/title/tt19637052/?ref_=sr_t_88,2024,1h 44m,R,6.6,51K
89. A Real Pain,https://www.imdb.com/title/tt21823606/?ref_=sr_t_89,2024,1h 30m,R,7.3,11K
90. Megalopolis,https://www.imdb.com/title/tt10128846/?ref_=sr_t_90,2024,2h 18m,R,4.8,30K
91. Haikyu!! The Dumpster Battle,https://www.imdb.com/title/tt30476486/?ref_=sr_t_91,2024,1h 25m,PG-13,7.8,5.2K
92. Afraid,https://www.imdb.com/title/tt24577462/?ref_=sr_t_92,2024,1h 24m,PG-13,5.2,11K
93. The Fire Inside,https://www.imdb.com/title/tt6133444/?ref_=sr_t_93,2024,1h 49m,PG-13,7.1,1K
94. Cuckoo,https://www.imdb.com/title/tt12349832/?ref_=sr_t_94,2024,1h 42m,R,5.8,20K
95. Back to Black,https://www.imdb.com/title/tt21261712/?ref_=sr_t_95,2024,2h 2m,R,6.3,24K
96. Someone Like You,https://www.imdb.com/title/tt22334258/?ref_=sr_t_96,2024,1h 58m,PG,5.8,1.5K
97. Devara Part 1,https://www.imdb.com/title/tt11821912/?ref_=sr_t_97,2024,2h 56m,,6.0,19K
98. The Killer's Game,https://www.imdb.com/title/tt0327785/?ref_=sr_t_98,2024,1h 44m,R,5.7,9.3K
99. My Old Ass,https://www.imdb.com/title/tt18559464/?ref_=sr_t_99,2024,1h 29m,R,6.9,28K
100. My Hero Academia: You're Next,https://www.imdb.com/title/tt32176689/?ref_=sr_t_100,2024,1h 50m,PG-13,7.0,1.3K
101. Kinds of Kindness,https://www.imdb.com/title/tt22408160/?ref_=sr_t_101,2024,2h 44m,R,6.5,52K
102. Drive-Away Dolls,https://www.imdb.com/title/tt19356262/?ref_=sr_t_102,2024,1h 24m,R,5.4,21K
103. I Saw the TV Glow,https://www.imdb.com/title/tt15574270/?ref_=sr_t_103,2024,1h 40m,PG-13,5.8,30K
104. Dìdi,https://www.imdb.com/title/tt30319503/?ref_=sr_t_104,2024,1h 33m,R,7.4,9.2K
105. Land of Bad,https://www.imdb.com/title/tt19864802/?ref_=sr_t_105,2024,1h 53m,R,6.6,47K
106. The Exorcism,https://www.imdb.com/title/tt11240348/?ref_=sr_t_106,2024,1h 35m,R,4.2,10K
107. In a Violent Nature,https://www.imdb.com/title/tt30321146/?ref_=sr_t_107,2024,1h 34m,Not Rated,5.6,23K
108. For King + Country: A Drummer Boy Christmas - Live,https://www.imdb.com/title/tt34422601/?ref_=sr_t_108,2024,1h 30m,,8.0,155
